"Sensor Mode
Recording Resolution
Data Rate @ 24 fps (incl. audio)","","","Rec Time @
24fps (hh:mm)","","Max. FPS",""
"","","","1 TB","2 TB","1 TB","2 TB"
"4.6K 3:2
Open Gate","4.6K (4608 x 3164)","2.009 GB/h (ARRIRAW)","00:28","00:56","35 fps","75 fps"
"","","633 GB/h (Apple ProRes 422 HQ)
945 GB/h (Apple ProRes 4444)
1.414 GB/h (Apple ProRes 4444 XQ)","01:30
01:00
00:40","03:01
02:01
01:21","60 fps","60 fps"
"4.6K 16:9","4.6K (4608 x 2592)","1.648 GB/h (ARRIRAW)","00:34","01:08","45 fps","75 fps"
"","4K (4096 x 2304)","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","02:19
01:33
01:02","04:39
03:07
02:05","75 fps","75 fps"
"4K 16:9","4K (4096 x 2304)","1.304 GB/h (ARRIRAW)","00:43","01:26","55 fps","120 fps"
"","","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","02:19
01:33
01:02","04:39
03:07
02:05","100 fps
100 fps
90 fps","100 fps"
"","UHD (3840 x 2160)","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","02:38
01:46
01:11","05:16
03:32
02:22","120 fps
120 fps
105 fps","120 fps"
"","2K (2048 x 1152)","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","08:46
06:00
04:04","17:33
12:01
08:08","120 fps","120 fps"
"","HD (1920 x 1080)","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","09:53
06:47
04:36","19:47
13:34
09:13","120 fps","120 fps"
"4K 2:1","4K (4096 x 2048)","1.160 GB/h (ARRIRAW)","00:48","01:37","65 fps","120 fps"
"","","368 GB/h (Apple 422 HQ)
547 GB/h (Apple 4444)
817 GB/h (Apple 4444 XQ)","02:36
01:45
01:10","05:13
03:30
02:20","120 fps
120 fps
100 fps","120 fps"
"3.8K 16:9","UHD (3840 x 2160)","1.144 GB/h (ARRIRAW)","00:49","01:38","65 fps","120 fps"
"","","413 GB/h (Apple 422 HQ)
615 GB/h (Apple 4444)
918 GB/h (Apple 4444 XQ)","02:38
01:46
01:11","05:16
03:32
02:22","120 fps
120 fps
105 fps","120 fps"
"3.3K 6:5","3.3K (3328 x 2790)","1.283 GB/h (ARRIRAW)","00:44","01:28","55 fps","100 fps"
"","","406 GB/h (Apple 422 HQ)
605 GB/h (Apple 4444)
904 GB/h (Apple 4444 XQ)","02:21
01:35
01:03","04:43
03:10
02:07","75 fps","75 fps"
"","4K 2.39:1 Ana 2x","310 GB/h (Apple 422 HQ)
460 GB/h (Apple 4444)
686 GB/h (Apple 4444 XQ)","03:06
02:05
01:23","06:12
04:10
02:47","90 fps","90 fps"
